target_node,detected,detection_val
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,True,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,True,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,True,2
0,True,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,True,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,True,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,True,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,True,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,False,2
0,True,2
0,False,2
0,False,2
0,True,2
